No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
16,,松下琴美,3,■,■,■,,,7,4,1,57.1,1.33,0,0,0,-,1,0.33,6,0,2,2,8.3,1,0.0,0.0,0.0,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
17,L,斎田杏,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
18,,伊関悠,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,1.0,0.0,100.0,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
19,,永野沙也加,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
2,,雨堤みなみ,3,□,□,■,,,17,5,0,29.4,1.67,1,0,0,0.0,0,-,3,0,1,0,0.0,6,3.0,0.0,50.0,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
3,,芳賀小梨絵,3,□,□,□,,,1,1,0,100.0,0.33,0,0,0,-,0,-,4,0,0,4,25.0,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
4,,櫻井樹里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
6,,王亜辰,3,■,■,■,,,43,13,3,30.2,4.33,14,4,0,28.6,0,-,10,0,2,1,2.5,1,0.0,0.0,0.0,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
8,,中野清香,3,■,■,■,,,29,10,1,34.5,3.33,5,1,1,20.0,2,0.67,8,0,1,0,0.0,20,11.0,0.0,55.0,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
9,,大宮里美,2,■,■,,,,12,2,1,16.7,1.00,1,0,0,0.0,0,-,5,0,1,1,5.0,9,4.0,0.0,44.4,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
10,,上村麻衣,3,■,■,■,,,2,1,0,50.0,0.33,0,0,0,-,2,0.67,6,0,1,2,8.3,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
11,,渡邊彩,1,,,□,,,3,0,0,0.0,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
13,L,大内世莉香,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,29,18.0,0.0,62.1,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
14,,渡邉愛以,3,■,■,■,,,4,1,0,25.0,0.33,0,0,0,-,0,-,4,0,0,3,18.8,1,1.0,0.0,100.0,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
15,,佐々木香織,3,■,■,■,,,2,1,0,50.0,0.33,0,0,0,-,0,-,7,1,0,3,22.1,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,仙台ベルフィーユ,日立リヴァーレ,諸隈英人,,0,3,3,Lose,73,Away
1,,重松史乃,3,■,■,■,,,4,2,0,50.0,0.67,0,0,0,-,0,-,8,1,2,3,19.4,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,GSS東京サンビームズ,大野石油広島オイラーズ,佐々木雄司,笛木彰,0,3,3,Lose,79,Home
3,L,大場知英,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,6.0,0.0,66.7,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,GSS東京サンビームズ,大野石油広島オイラーズ,佐々木雄司,笛木彰,0,3,3,Lose,79,Home
6,,長岡藍,3,■,■,■,,,53,6,4,11.3,2.00,2,0,1,0.0,0,-,5,0,2,0,0.0,12,6.0,0.0,50.0,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,GSS東京サンビームズ,大野石油広島オイラーズ,佐々木雄司,笛木彰,0,3,3,Lose,79,Home
10,,山口弥緒,3,■,■,■,,,22,5,3,22.7,1.67,0,0,0,-,0,-,9,0,1,4,11.1,26,12.0,0.0,46.2,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,GSS東京サンビームズ,大野石油広島オイラーズ,佐々木雄司,笛木彰,0,3,3,Lose,79,Home
14,,見崎真琴,3,■,■,■,,,16,0,1,0.0,-,0,0,0,-,1,0.33,7,1,0,0,14.3,1,0.0,0.0,0.0,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,GSS東京サンビームズ,大野石油広島オイラーズ,佐々木雄司,笛木彰,0,3,3,Lose,79,Home
16,,菊地めぐみ,3,■,■,■,,,18,10,1,55.6,3.33,0,0,0,-,0,-,8,1,0,3,19.4,17,9.0,0.0,52.9,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,GSS東京サンビームズ,大野石油広島オイラーズ,佐々木雄司,笛木彰,0,3,3,Lose,79,Home
18,,小岩美麻,3,□,■,■,,,9,2,0,22.2,0.67,0,0,0,-,0,-,7,0,0,4,14.3,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,GSS東京サンビームズ,大野石油広島オイラーズ,佐々木雄司,笛木彰,0,3,3,Lose,79,Home
19,,岡崎櫻,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,6,1,1,1,17.5,3,2.0,0.0,66.7,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,GSS東京サンビームズ,大野石油広島オイラーズ,佐々木雄司,笛木彰,0,3,3,Lose,79,Home
21,,須江はるか,1,■,,,,,6,3,0,50.0,3.00,1,1,0,100.0,1,1.00,1,0,1,0,0.0,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,GSS東京サンビームズ,大野石油広島オイラーズ,佐々木雄司,笛木彰,0,3,3,Lose,79,Home
1,,矢山美沙,3,■,■,■,,,10,5,0,50.0,1.67,0,0,0,-,3,1.00,5,0,0,3,15.0,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
2,,平川実愛,3,■,■,■,,,17,4,1,23.5,1.33,0,0,0,-,1,0.33,10,0,0,5,12.5,17,8.0,0.0,47.1,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
3,L,福田有里,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,8,5.0,0.0,62.5,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
4,,田中涼子,3,■,■,■,,,32,14,0,43.8,4.67,7,3,0,42.9,1,0.33,16,0,3,3,4.7,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
5,,大楠鼓雪,3,■,■,■,,,28,9,2,32.1,3.00,0,0,0,-,1,0.33,12,0,0,7,14.6,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
6,,村尾葉津樹,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,1,0.33,17,0,0,9,13.2,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
7,,押川真保,1,,,□,,,2,0,0,0.0,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
8,,吉安遥,3,■,■,■,,,29,16,3,55.2,5.33,0,0,0,-,0,-,9,0,1,5,13.9,13,10.0,0.0,76.9,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
10,,芦澤美加,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
11,,板谷美優,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,5,2.0,0.0,40.0,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
12,,槇本京子,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
13,,高桑冬華,1,,,□,,,3,1,0,33.3,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,852,2012-11-10,2012,11,10,,松任総合運動公園体育館,大野石油広島オイラーズ,GSS東京サンビームズ,豆田憲昭,知念諒,3,0,3,Win,79,Away
2,,船崎恵視,4,■,■,■,■,,1,0,0,0.0,-,0,0,0,-,2,0.50,16,0,1,5,7.8,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
3,,栗田琴恵,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
4,L,岩永麻里江,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,18,14.0,0.0,77.8,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
5,,札場多恵,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,2,25.0,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
6,,佐々木夏希,3,,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,2,10.0,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
8,,足立史織,4,■,■,■,■,,33,14,0,42.4,3.50,0,0,0,-,2,0.50,23,4,1,9,26.3,21,16.0,0.0,76.2,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
9,,ロマーニャユランニ,4,■,■,■,■,,70,31,7,44.3,7.75,25,10,3,40.0,1,0.25,12,0,2,6,12.5,2,1.0,0.0,50.0,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
11,,佐藤奈美,4,■,■,■,■,,22,11,0,50.0,2.75,0,0,0,-,1,0.25,7,0,1,2,7.1,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
12,,砂田遥,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,2,0.50,15,0,0,7,11.7,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
14,,清水亜寿里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
15,,川上真央,2,,,□,□,,4,3,0,75.0,1.50,1,0,0,0.0,0,-,1,0,0,0,0.0,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
16,,村松比呂子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
18,,渡邊沙織,4,■,■,■,■,,29,12,3,41.4,3.00,0,0,0,-,1,0.25,22,0,1,8,9.1,33,16.0,0.0,48.5,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
19,L,清水理央,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,前田幸介,3,1,4,Win,102,Home
1,,山田江美香,4,■,■,■,■,,39,6,2,15.4,1.50,2,0,1,0.0,1,0.25,17,1,0,4,10.6,15,7.0,0.0,46.7,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
2,,湯川理奈,4,■,■,■,■,,23,13,0,56.5,3.25,0,0,0,-,0,-,10,0,0,2,5.0,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
4,,川村奈々,1,,,,□,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
6,,坂本育美,4,■,■,■,■,,6,4,1,66.7,1.00,0,0,0,-,1,0.25,14,1,7,4,14.3,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
8,,樋口美紀,4,■,■,■,■,,23,9,0,39.1,2.25,0,0,0,-,1,0.25,13,0,1,4,7.7,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
9,L,森岡裕子,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,8.0,0.0,50.0,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
10,,中村早紀子,4,■,■,■,■,,38,14,0,36.8,3.50,1,0,0,0.0,0,-,11,0,1,2,4.5,54,34.0,0.0,63.0,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
11,,大西悠加,4,■,■,■,■,,43,12,1,27.9,3.00,8,3,0,37.5,0,-,21,2,1,10,21.4,9,3.0,0.0,33.3,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
12,,廣瀬彩乃,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
13,L,塚本尚子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
14,,高野奈保,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
15,,正村さやか,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
16,,藤原夏海,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,853,2012-11-10,2012,11,10,,松任総合運動公園体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,桑原信治,1,3,4,Lose,102,Away
1,,田村真希,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
3,,岡村貴衣,3,■,□,□,,,15,6,1,40.0,2.00,1,1,0,100.0,0,-,2,0,1,0,0.0,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
4,,石橋ちとせ,3,■,■,■,,,10,4,3,40.0,1.33,0,0,0,-,0,-,9,0,2,5,13.9,27,8.0,0.0,29.6,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
5,,渡邊美菜,3,■,■,■,,,23,6,3,26.1,2.00,1,0,0,0.0,1,0.33,9,0,2,3,8.3,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
6,,伊藤綾子,3,■,■,■,,,12,4,0,33.3,1.33,0,0,0,-,0,-,8,0,0,3,9.4,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
7,,江森圭美,3,■,■,■,,,26,6,2,23.1,2.00,2,0,0,0.0,1,0.33,6,0,1,3,12.5,16,6.0,0.0,37.5,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
9,,中原美羽,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,3,1.0,0.0,33.3,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
10,L,定別當彩,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
11,,丸山祐希,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,0,-,6,0,0,3,12.5,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
13,,芦野李沙,2,,□,□,,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,2,0.0,0.0,0.0,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
14,L,菅長愛子,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,5.0,0.0,55.6,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
15,,北上夏希,2,,■,■,,,15,3,1,20.0,1.50,2,1,1,50.0,0,-,3,0,1,0,0.0,10,5.0,0.0,50.0,854,2012-11-10,2012,11,10,,益城町総合体育館,柏エンゼルクロス,埼玉上尾メディックス,藤本幹朗,,0,3,3,Lose,61,Home
4,,庄司夕起,3,■,■,■,,,14,6,0,42.9,2.00,0,0,0,-,4,1.33,11,0,0,7,15.9,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,埼玉上尾メディックス,柏エンゼルクロス,吉田敏明,箕輪憲吾,3,0,3,Win,61,Away
7,,滝沢ななえ,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,9,1,1,5,22.8,1,0.0,0.0,0.0,854,2012-11-10,2012,11,10,,益城町総合体育館,埼玉上尾メディックス,柏エンゼルクロス,吉田敏明,箕輪憲吾,3,0,3,Win,61,Away
10,,土田望未,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,12,0,0,9,18.8,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,埼玉上尾メディックス,柏エンゼルクロス,吉田敏明,箕輪憲吾,3,0,3,Win,61,Away
12,,安藤典莉子,3,■,■,■,,,11,2,3,18.2,0.67,2,0,2,0.0,1,0.33,6,0,0,2,8.3,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,埼玉上尾メディックス,柏エンゼルクロス,吉田敏明,箕輪憲吾,3,0,3,Win,61,Away
13,,大内志織,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,1,1,2,26.0,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,埼玉上尾メディックス,柏エンゼルクロス,吉田敏明,箕輪憲吾,3,0,3,Win,61,Away
15,L,細川麻美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,埼玉上尾メディックス,柏エンゼルクロス,吉田敏明,箕輪憲吾,3,0,3,Win,61,Away
16,,皆本明日香,3,□,□,□,,,6,2,0,33.3,0.67,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,854,2012-11-10,2012,11,10,,益城町総合体育館,埼玉上尾メディックス,柏エンゼルクロス,吉田敏明,箕輪憲吾,3,0,3,Win,61,Away
