チーム,選手,アタック,アタック成功:,アタック失敗,アタック打数,アタック決定率,アタック効果率,ブロック成功,レシーブ失敗,レシーブ成功(優),レシーブ成功(良),その他ミス
岡山シーガルズ,金田,139,95,10,244,38.9,34.8,1,28,89,21,0
岡山シーガルズ,長瀬,53,44,2,99,44.4,42.4,2,1,7,6,0
岡山シーガルズ,高柳(有),83,31,1,115,27.0,26.1,1,30,42,16,1
日立Astemoリヴァーレ,オクム大庭,123,103,19,245,42.0,34.3,2,0,1,1,3
日立Astemoリヴァーレ,タップ,86,77,11,174,44.3,37.9,11,4,6,2,2
日立Astemoリヴァーレ,上坂,155,91,14,260,35.0,29.6,4,101,140,70,2
日立Astemoリヴァーレ,入澤,11,10,0,21,47.6,47.6,1,1,3,2,0
日立Astemoリヴァーレ,境,3,3,0,6,50.0,50.0,2,1,0,0,7
日立Astemoリヴァーレ,室岡,93,55,10,158,34.8,28.5,1,63,44,41,0
日立Astemoリヴァーレ,小池,0,0,0,0,,,0,2,4,4,0
日立Astemoリヴァーレ,渡邊,60,44,3,107,41.1,38.3,9,4,7,1,0
日立Astemoリヴァーレ,野中,0,0,0,0,,,0,5,3,5,0
日立Astemoリヴァーレ,長内,169,90,13,272,33.1,28.3,4,80,125,56,1
日立Astemoリヴァーレ,雑賀,3,3,0,6,50.0,50.0,0,0,0,0,9
日立Astemoリヴァーレ,齋藤,0,0,0,0,,,0,42,80,37,0
