チーム,選手,アタック,アタック成功:,アタック失敗,アタック打数,アタック決定率,アタック効果率,ブロック成功,サーブ,ノータッチエース,サービスエース,サーブミス,レシーブ失敗,レシーブ成功(優),レシーブ成功(良),失敗かつブレイク,優かつブレイク,良かつブレイク,ブレイク,失敗かつ被サイドアウト,優かつ被サイドアウト,良かつ被サイドアウト,被サイドアウト,その他ミス
NECレッドロケッツ,柳田,46,32,3,81,39.5,35.8,6,66,2,1,8,21.0,23.0,22.0,12.0,7.0,11.0,30.0,9.0,16.0,11.0,36.0,1.0
NECレッドロケッツ,澤田,1,1,0,2,50.0,50.0,2,119,0,2,3,35.0,53.0,31.0,23.0,14.0,11.0,48.0,12.0,39.0,20.0,71.0,4.0
NECレッドロケッツ,甲,6,3,0,9,33.3,33.3,4,31,0,0,4,6.0,19.0,6.0,4.0,6.0,4.0,14.0,2.0,13.0,2.0,17.0,0.0
NECレッドロケッツ,野嶋,16,16,3,35,45.7,37.1,9,114,4,1,11,22.0,59.0,33.0,12.0,30.0,10.0,52.0,10.0,29.0,23.0,62.0,1.0
PFUブルーキャッツ,ジャン,52,42,5,99,42.4,37.4,15,152,4,3,21,40.0,82.0,30.0,23.0,33.0,14.0,70.0,17.0,49.0,16.0,82.0,
PFUブルーキャッツ,バルデス,75,62,5,142,43.7,40.1,11,137,5,6,27,37.0,66.0,34.0,17.0,23.0,9.0,49.0,20.0,43.0,25.0,88.0,
PFUブルーキャッツ,合屋,1,0,0,1,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,
PFUブルーキャッツ,堀口,4,3,0,7,42.9,42.9,0,26,0,0,6,6.0,12.0,8.0,3.0,5.0,1.0,9.0,3.0,7.0,7.0,17.0,
PFUブルーキャッツ,山下,1,0,0,1,0.0,0.0,1,27,0,0,5,9.0,12.0,6.0,5.0,4.0,1.0,10.0,4.0,8.0,5.0,17.0,
PFUブルーキャッツ,志摩,70,31,8,109,28.4,21.1,7,135,1,4,11,31.0,67.0,37.0,11.0,23.0,14.0,48.0,20.0,44.0,23.0,87.0,
PFUブルーキャッツ,有田,0,0,0,0,,,0,1,0,0,1,,,,,,,,,,,,
PFUブルーキャッツ,村上,0,1,0,1,100.0,100.0,0,0,0,0,0,,,,,,,,,,,,
PFUブルーキャッツ,渡邊,4,2,0,6,33.3,33.3,0,10,0,0,2,2.0,5.0,3.0,1.0,3.0,1.0,5.0,1.0,2.0,2.0,5.0,
PFUブルーキャッツ,瀬戸,0,0,0,0,,,0,0,0,0,1,,,,,,,,,,,,
PFUブルーキャッツ,田原,6,4,0,10,40.0,40.0,0,107,5,6,12,32.0,44.0,30.0,11.0,12.0,13.0,37.0,20.0,32.0,17.0,69.0,
PFUブルーキャッツ,綿引,18,3,3,24,12.5,0.0,27,165,1,7,4,38.0,87.0,40.0,20.0,24.0,14.0,58.0,18.0,63.0,26.0,107.0,
PFUブルーキャッツ,鍋谷,77,37,2,116,31.9,30.2,11,135,4,4,13,43.0,62.0,30.0,23.0,18.0,13.0,54.0,20.0,44.0,17.0,81.0,
PFUブルーキャッツ,高相,30,15,1,46,32.6,30.4,3,44,1,3,7,12.0,24.0,8.0,5.0,8.0,1.0,14.0,7.0,16.0,7.0,30.0,
デンソーエアリービーズ,アコスタ,73,38,5,116,32.8,28.4,10,69,0,0,4,12.0,44.0,13.0,5.0,12.0,2.0,19.0,7.0,32.0,11.0,50.0,
デンソーエアリービーズ,ブンダサック,1,0,0,1,0.0,0.0,2,8,0,0,1,1.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,7.0,
デンソーエアリービーズ,中元,83,47,13,143,32.9,23.8,2,147,0,4,15,42.0,63.0,41.0,23.0,30.0,18.0,72.0,19.0,33.0,23.0,75.0,
デンソーエアリービーズ,佐藤,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,
デンソーエアリービーズ,兵頭,129,60,9,198,30.3,25.8,9,176,0,4,4,36.0,95.0,45.0,22.0,37.0,15.0,74.0,14.0,58.0,30.0,102.0,
デンソーエアリービーズ,小口,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,
デンソーエアリービーズ,工藤,119,61,5,185,33.0,30.3,4,189,1,6,20,62.0,80.0,47.0,44.0,23.0,16.0,83.0,18.0,57.0,31.0,106.0,
デンソーエアリービーズ,東谷,12,6,2,20,30.0,20.0,3,7,0,0,1,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,6.0,
デンソーエアリービーズ,松井,10,7,1,18,38.9,33.3,6,173,0,6,12,43.0,83.0,47.0,24.0,32.0,23.0,79.0,19.0,51.0,24.0,94.0,
デンソーエアリービーズ,森谷,21,15,2,38,39.5,34.2,12,177,1,5,15,58.0,69.0,50.0,30.0,18.0,15.0,63.0,28.0,51.0,35.0,114.0,
デンソーエアリービーズ,横田,51,29,2,82,35.4,32.9,20,145,4,3,12,41.0,71.0,33.0,18.0,18.0,12.0,48.0,23.0,53.0,21.0,97.0,
デンソーエアリービーズ,積山,0,0,0,0,,,0,2,0,0,1,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,
デンソーエアリービーズ,高橋,0,0,0,0,,,0,2,0,0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,
デンソーエアリービーズ,麻野,0,0,0,0,,,0,3,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,
トヨタ車体クインシーズ,ケルシー,88,55,7,150,36.7,32.0,4,133,2,4,12,54.0,58.0,22.0,27.0,15.0,7.0,49.0,26.0,43.0,15.0,84.0,
トヨタ車体クインシーズ,ハッタヤ,23,13,4,40,32.5,22.5,15,102,5,4,7,31.0,40.0,31.0,11.0,11.0,9.0,31.0,20.0,29.0,22.0,71.0,
トヨタ車体クインシーズ,中屋,21,7,2,30,23.3,16.7,1,26,2,0,4,8.0,14.0,4.0,2.0,3.0,2.0,7.0,6.0,11.0,2.0,19.0,
トヨタ車体クインシーズ,加地,0,0,0,0,,,0,10,0,0,8,3.0,5.0,2.0,0.0,0.0,2.0,2.0,3.0,5.0,0.0,8.0,
トヨタ車体クインシーズ,周田,5,2,0,7,28.6,28.6,3,78,2,7,14,24.0,32.0,22.0,6.0,7.0,9.0,22.0,18.0,25.0,13.0,56.0,
トヨタ車体クインシーズ,大川,9,4,2,15,26.7,13.3,0,20,0,0,0,6.0,10.0,4.0,2.0,3.0,2.0,7.0,4.0,7.0,2.0,13.0,
トヨタ車体クインシーズ,山上,6,2,0,8,25.0,25.0,7,111,1,4,7,32.0,62.0,16.0,13.0,18.0,4.0,36.0,19.0,43.0,12.0,74.0,
