No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
10,,星野秀知,2,,,□,□,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
12,,西本圭吾,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
14,,酒井啓輔,3,■,■,,□,,0,0,0,-,-,0,0,0,-,1,0.33,6,0,1,1,0.0,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
15,,李博,3,,□,■,■,,6,5,0,83.3,1.67,0,0,0,-,1,0.33,7,0,0,3,10.7,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
18,,鈴木悠二,2,■,■,,,,2,0,0,0.0,-,0,0,0,-,1,0.50,10,0,1,7,15.0,1,0.0,0.0,0.0,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
21,,藤井直伸,3,,□,■,■,,0,0,0,-,-,0,0,0,-,0,-,10,0,1,3,5.0,1,0.0,0.0,0.0,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
2,,須貝祐介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
3,,池田颯太,1,,,□,,,1,1,0,100.0,1.00,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
4,,中村竜輔,3,■,■,■,,,4,1,2,25.0,0.33,0,0,0,-,1,0.33,9,0,1,1,0.0,2,1.0,1.0,75.0,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
5,,笠利真吾,2,■,,■,,,11,7,0,63.6,3.50,0,0,0,-,1,0.50,5,0,1,0,-5.0,12,2.0,4.0,33.3,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
6,,伊藤樹,2,□,■,,,,5,2,0,40.0,1.00,0,0,0,-,0,-,5,0,1,1,0.0,14,4.0,3.0,39.3,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
7,,戸嵜嵩大,3,■,■,■,,,19,7,3,36.8,2.33,6,1,2,16.7,0,-,9,0,3,0,-8.3,16,4.0,2.0,31.2,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
8,,河東祐大,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,0,-,8,0,0,2,6.2,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
9,,池田幸太,1,,,□,,,3,2,0,66.7,2.00,1,1,0,100.0,0,-,1,0,0,0,0.0,1,0.0,1.0,50.0,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
10,,ヌルムルキリヴァン,3,■,■,■,,,27,12,0,44.4,4.00,9,5,0,55.6,1,0.33,9,1,4,3,8.3,1,0.0,1.0,50.0,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
13,,椿芽久,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,1,1,0.0,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
14,,矢貫龍馬,2,□,■,,,,4,1,0,25.0,0.50,0,0,0,-,0,-,5,0,0,0,0.0,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
15,,波佐間泰平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
16,,森崎健史,2,■,,■,,,2,1,0,50.0,0.50,0,0,0,-,1,0.50,5,0,3,1,-10.0,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
22,L,角雅也,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,5.0,3.0,46.4,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,0,3,3,Lose,60,75,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Home
1,,富松崇彰,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
2,,高橋健太郎,3,■,■,■,,,12,5,0,41.7,1.67,0,0,0,-,3,1.00,9,0,1,4,8.3,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
3,L,山口拓海,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,10.0,4.0,70.6,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
4,,パダルクリスティアン,3,■,■,■,,,22,12,2,54.5,4.00,5,4,1,80.0,0,-,10,0,6,3,-7.5,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
5,,米山裕太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
6,,手塚大,3,■,■,■,,,11,5,1,45.5,1.67,3,3,0,100.0,2,0.67,16,1,1,8,17.2,4,1.0,1.0,37.5,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
7,,峯村雄大,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
9,,富田将馬,3,■,■,■,,,17,11,0,64.7,3.67,6,5,0,83.3,0,-,10,1,2,2,10.0,26,16.0,7.0,75.0,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
10,,星野秀知,2,,□,□,,,3,1,0,33.3,0.50,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
12,,西本圭吾,1,,,□,,,4,2,0,50.0,2.00,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
14,,酒井啓輔,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,1,2,6.2,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
15,,李博,3,■,■,■,,,6,5,0,83.3,1.67,0,0,0,-,2,0.67,12,0,1,5,8.3,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
18,,鈴木悠二,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
21,,藤井直伸,3,■,■,■,,,0,0,0,-,-,0,0,0,-,2,0.67,10,0,0,2,5.0,0,0.0,0.0,-,103,2021-10-16,2021,10,16,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,0,3,Win,75,60,78,15:30,17:01,1060,利根川忠史,高橋宏明,慈眼雅啓,橋詰清美,Away
1,,藤中優斗,4,■,■,■,■,,16,6,0,37.5,1.50,2,2,0,100.0,0,-,11,0,4,1,-6.8,22,8.0,9.0,56.8,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
2,,金丸晃大,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
4,,福山汰一,4,■,■,■,■,,14,8,1,57.1,2.00,0,0,0,-,2,0.50,11,0,2,2,0.0,3,2.0,0.0,66.7,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
6,,フォンテレスフェリペ,4,■,■,□,□,,22,2,6,9.1,0.50,2,0,0,0.0,0,-,8,1,2,0,6.2,18,7.0,7.0,58.3,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
8,,郡浩也,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
9,,村山豪,4,■,■,■,■,,7,4,0,57.1,1.00,0,0,0,-,0,-,14,1,3,0,1.8,3,1.0,1.0,50.0,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
10,,小林光輝,3,,□,■,■,,1,1,0,100.0,0.33,0,0,0,-,0,-,12,0,0,5,10.4,0,0.0,0.0,-,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
11,,袴谷亮介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
12,,興梠亮,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,1.0,0.0,50.0,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
15,,宮浦健人,4,■,■,■,■,,51,22,2,43.1,5.50,24,13,2,54.2,0,-,16,1,4,5,7.8,2,1.0,1.0,75.0,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
16,,久保山尚,2,■,■,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
17,L,本間隆太,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,12.0,5.0,72.5,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
18,,道井淳平,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,102,2021-10-15,2021,10,15,愛知県,ウィングアリーナ刈谷,ジェイテクトSTINGS,JTサンダーズ広島,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,1,3,4,Lose,81,95,104,19:00,21:00,960,小柴滋,原啓之,戸川太輔,田中栄二,Home
