No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,Game time
4,,柳田百織,4,■,■,■,■,,37,20,6,54.1,5.00,15,7,4,46.7,0,-,14,0,2,4,3.6,1,1.0,0.0,100.0,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
5,,吉田綜眞,1,,□,,,,6,2,0,33.3,2.00,2,0,0,0.0,0,-,3,0,0,1,8.3,0,0.0,0.0,-,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
6,L,小林慎平,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,11.0,3.0,89.3,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
7,,加藤大雄,4,■,■,■,■,,14,8,1,57.1,2.00,0,0,0,-,3,0.75,14,1,2,3,8.9,2,1.0,1.0,75.0,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
8,,後藤滉貴,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,2,0,-12.5,0,0.0,0.0,-,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
10,,岡村義郎,3,,□,■,■,,5,2,0,40.0,0.67,0,0,0,-,2,0.67,10,0,1,2,2.5,5,5.0,0.0,100.0,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
11,,浅野卓雅,4,■,■,■,■,,27,10,4,37.0,2.50,5,2,2,40.0,0,-,13,0,3,2,-1.9,24,12.0,9.0,68.8,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
13,,兵頭佳樹,4,■,■,■,■,,23,17,0,73.9,4.25,0,0,0,-,1,0.25,15,0,0,3,5.0,22,8.0,10.0,59.1,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
17,,角大樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
18,,長谷山拓,4,■,■,■,■,,2,0,0,0.0,-,0,0,0,-,0,-,12,0,0,1,2.1,1,0.0,0.0,0.0,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
19,,尾木将,3,□,,□,□,,2,1,0,50.0,0.33,0,0,0,-,1,0.33,3,0,0,0,0.0,2,1.0,0.0,50.0,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
20,,志波京介,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,523,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,富士通カワサキレッドスピリッツ,大同特殊鋼レッドスター,山本道彦,廣本遥,3,1,4,Win,95,85,,12:00,13:38,0,塚本健,橋本賀津郎,日高義仁,永野宗敏,Away,89.0
0,,越川優,3,■,■,■,,,16,8,0,50.0,2.67,2,0,0,0.0,0,-,13,2,4,5,17.3,14,5.0,5.0,53.6,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
2,,山口功太郎,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
3,,田城貴之,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
4,,古田史郎,1,,,□,,,1,1,0,100.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
5,,家近滉一,3,■,■,■,,,9,5,1,55.6,1.67,0,0,0,-,2,0.67,21,4,3,11,28.6,20,6.0,7.0,47.5,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
6,,本澤凌斗,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,9,0,5,1,-11.1,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
10,L,白石啓丈,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,2.0,3.0,58.3,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
11,L,藤村昇太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
13,,佐々木博秋,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
14,,張育陞,3,■,■,■,,,29,21,3,72.4,7.00,12,9,1,75.0,1,0.33,9,0,4,1,-8.3,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
17,,辰巳遼,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
18,,後藤万澄,3,■,■,■,,,6,5,0,83.3,1.67,0,0,0,-,0,-,9,0,1,2,2.8,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
20,,戸田拓也,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
23,,田城広光,3,■,■,■,,,13,6,1,46.2,2.00,0,0,0,-,1,0.33,12,1,3,5,12.5,1,0.0,0.0,0.0,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,ヴォレアス北海道,きんでんトリニティーブリッツ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,55,65.0,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Home,
1,,岡本侑,3,■,■,■,,,15,6,1,40.0,2.00,4,2,0,50.0,0,-,10,0,3,1,-5.0,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
3,L,長濱裕,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,4.0,4.0,50.0,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
5,L,大賀惠介,1,,,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
6,,庄司練,3,■,■,■,,,8,7,0,87.5,2.33,0,0,0,-,0,-,7,0,4,1,-10.7,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
7,,田畑翔伍,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
9,,内園徹,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,1,0,2,30.0,2,1.0,0.0,50.0,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
11,,毛利光生,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,0,-,10,0,2,3,2.5,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
14,,谷川結人,3,■,■,■,,,16,5,1,31.2,1.67,6,3,1,50.0,0,-,7,0,4,2,-7.1,12,3.0,1.0,29.2,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
15,,古川一輝,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
18,,三木裕人,3,■,■,■,,,8,4,1,50.0,1.33,0,0,0,-,0,-,7,0,0,2,7.1,24,9.0,5.0,47.9,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
19,,黒木隆生,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
20,,山本慎人,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
22,,松浦孝平,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
23,,福井裕貴,3,■,■,■,,,11,4,0,36.4,1.33,0,0,0,-,1,0.33,6,0,2,1,-4.2,1,0.0,0.0,0.0,524,2020-11-21,2020,11,21,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,ヴォレアス北海道,今田善仁,藤島謙裕,0,3,3,Lose,55,75,,14:20,15:31,0,塚本健,平田敬基,工藤紀年,生駒能宏,Away,65.0
1,,伊澤啓生,3,■,■,■,,,19,10,1,52.6,3.33,4,2,0,50.0,2,0.67,14,0,0,1,1.8,14,5.0,3.0,46.4,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
2,,渡邊和馬,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
3,,吉田魁成,3,■,■,■,,,12,7,0,58.3,2.33,0,0,0,-,0,-,11,0,2,3,2.3,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
4,,田中尚,3,■,■,■,,,8,5,1,62.5,1.67,0,0,0,-,0,-,13,1,0,4,15.4,2,2.0,0.0,100.0,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
7,,津田大地,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
8,,森陽希,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
9,,長谷川優太,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,8,0,2,1,-3.1,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
10,,二五田大輔,3,■,■,■,,,32,15,4,46.9,5.00,1,0,0,0.0,2,0.67,14,1,1,4,12.5,21,8.0,4.0,47.6,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
11,,嶋田希隆,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
12,L,備一真,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,11,6.0,4.0,72.7,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
13,,境龍生,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
15,,清水遼,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
17,,舩倉拓登,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
18,,寺尾壮太,3,■,■,■,,,21,11,0,52.4,3.67,4,2,0,50.0,0,-,10,1,3,2,7.5,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,3,0,3,Win,75,61,74.0,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Home,
0,,越川優,1,,,■,,,6,1,0,16.7,1.00,0,0,0,-,0,-,4,0,1,1,0.0,7,3.0,4.0,71.4,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
2,,山口功太郎,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
3,,田城貴之,3,■,■,■,,,6,3,0,50.0,1.00,0,0,0,-,1,0.33,15,1,0,5,15.0,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
4,,古田史郎,3,■,■,■,,,33,13,1,39.4,4.33,10,5,0,50.0,3,1.00,12,2,3,2,14.6,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
5,,家近滉一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
6,,本澤凌斗,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
10,L,白石啓丈,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,6.0,5.0,60.7,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
11,L,藤村昇太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
13,,佐々木博秋,3,■,■,■,,,19,4,1,21.1,1.33,2,0,0,0.0,0,-,7,0,3,0,-10.7,19,12.0,4.0,73.7,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
14,,張育陞,1,□,,,,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
17,,辰巳遼,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,3,1.00,7,0,1,2,3.6,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
18,,後藤万澄,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
20,,戸田拓也,2,■,■,,,,10,6,1,60.0,3.00,0,0,0,-,0,-,6,0,2,0,-8.3,18,5.0,8.0,50.0,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
23,,田城広光,3,■,■,■,,,8,5,0,62.5,1.67,0,0,0,-,0,-,12,1,4,6,12.5,4,0.0,0.0,0.0,527,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,0,3,3,Lose,61,75,,11:00,12:20,0,塚本健,平田敬基,日高義仁,松田さゆり,Away,74.0
