AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,Game time
95,38,7,40.0,12.67,21,10,2,47.6,2,0.67,59,3,10,12,5.9,65,31.0,13.0,57.7,528,2020-11-22,2020,11,22,宮崎県,早水公園体育文化センター,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,57,75,,13:00,14:14,0,塚本健,橋本賀津郎,工藤紀年,生駒能宏,Away,91,42,3,46.2,14.00,13,5,2,38.5,9,3.00,73,5,8,21,11.3,47,24.0,11.0,62.8,68
69,30,6,43.5,10.00,10,7,2,70.0,3,1.00,63,2,13,8,1.2,60,21.0,15.0,47.5,529,2020-11-28,2020,11,28,北海道,北ガスアリーナ札幌46,サフィルヴァ北海道,ヴォレアス北海道,上杉徹,小林準,0,3,3,Lose,62,77,75,17:00,18:28,906,印藤智一,大塚健之,笹木宣拓,藤原啓子,Home,80,42,10,52.5,14.00,13,5,5,38.5,10,3.33,76,3,15,22,6.2,50,27.0,13.0,67.0,
80,42,10,52.5,14.00,13,5,5,38.5,10,3.33,76,3,15,22,6.2,50,27.0,13.0,67.0,529,2020-11-28,2020,11,28,北海道,北ガスアリーナ札幌46,ヴォレアス北海道,サフィルヴァ北海道,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,77,62,,17:00,18:28,906,印藤智一,大塚健之,笹木宣拓,藤原啓子,Away,69,30,6,43.5,10.00,10,7,2,70.0,3,1.00,63,2,13,8,1.2,60,21.0,15.0,47.5,75
79,28,13,35.4,9.33,17,2,6,11.8,3,1.00,54,1,14,5,-2.3,57,11.0,12.0,29.8,533,2020-11-29,2020,11,29,北海道,北ガスアリーナ札幌46,サフィルヴァ北海道,ヴォレアス北海道,上杉徹,小林準,0,3,3,Lose,53,75,74,16:00,17:27,827,印藤智一,大塚健之,笹木宣拓,黒澤久里子,Home,66,28,2,42.4,9.33,9,4,1,44.4,11,3.67,74,5,16,34,12.8,40,24.0,10.0,72.5,
66,28,2,42.4,9.33,9,4,1,44.4,11,3.67,74,5,16,34,12.8,40,24.0,10.0,72.5,533,2020-11-29,2020,11,29,北海道,北ガスアリーナ札幌46,ヴォレアス北海道,サフィルヴァ北海道,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,53,,16:00,17:27,827,印藤智一,大塚健之,笹木宣拓,黒澤久里子,Away,79,28,13,35.4,9.33,17,2,6,11.8,3,1.00,54,1,14,5,-2.3,57,11.0,12.0,29.8,74
122,43,13,35.2,10.75,14,7,2,50.0,5,1.25,77,2,8,21,6.8,79,31.0,21.0,52.5,530,2020-11-28,2020,11,28,埼玉県,坂戸市民総合公園体育館,埼玉アザレア,富士通カワサキレッドスピリッツ,工藤晴康,岩川泰巳,1,3,4,Lose,76,96,98,14:00,15:47,343,利根川忠史,中島俊昌,飯島毅,庄司幸恵,Home,109,62,6,56.9,15.50,12,5,2,41.7,10,2.50,95,1,16,27,3.9,69,23.0,25.0,51.4,
109,62,6,56.9,15.50,12,5,2,41.7,10,2.50,95,1,16,27,3.9,69,23.0,25.0,51.4,530,2020-11-28,2020,11,28,埼玉県,坂戸市民総合公園体育館,富士通カワサキレッドスピリッツ,埼玉アザレア,山本道彦,廣本遥,3,1,4,Win,96,76,,14:00,15:47,343,利根川忠史,中島俊昌,飯島毅,庄司幸恵,Away,122,43,13,35.2,10.75,14,7,2,50.0,5,1.25,77,2,8,21,6.8,79,31.0,21.0,52.5,98
88,40,7,45.5,13.33,16,8,3,50.0,7,2.33,70,4,6,12,7.9,75,35.0,12.0,54.7,534,2020-11-29,2020,11,29,埼玉県,坂戸市民総合公園体育館,埼玉アザレア,富士通カワサキレッドスピリッツ,工藤晴康,岩川泰巳,0,3,3,Lose,68,83,80,14:00,15:26,389,利根川忠史,中島俊昌,飯島毅,古田ゆき江,Home,91,51,9,56.0,17.00,13,9,1,69.2,13,4.33,81,4,5,25,11.1,63,32.0,16.0,63.5,
91,51,9,56.0,17.00,13,9,1,69.2,13,4.33,81,4,5,25,11.1,63,32.0,16.0,63.5,534,2020-11-29,2020,11,29,埼玉県,坂戸市民総合公園体育館,富士通カワサキレッドスピリッツ,埼玉アザレア,山本道彦,廣本遥,3,0,3,Win,83,68,,14:00,15:26,389,利根川忠史,中島俊昌,飯島毅,古田ゆき江,Away,88,40,7,45.5,13.33,16,8,3,50.0,7,2.33,70,4,6,12,7.9,75,35.0,12.0,54.7,80
108,48,10,44.4,12.00,16,9,2,56.2,9,2.25,90,7,14,22,10.0,80,24.0,36.0,52.5,531,2020-11-28,2020,11,28,東京都,多摩市立総合体育館,きんでんトリニティーブリッツ,長野GaRons,今田善仁,藤島謙裕,1,3,4,Lose,89,97,90,13:00,14:39,0,村上成司,竹澤拓人,金廣祐介,向野行信,Home,117,54,8,46.2,13.50,9,3,0,33.3,12,3.00,96,5,14,17,6.0,73,15.0,32.0,42.5,
117,54,8,46.2,13.50,9,3,0,33.3,12,3.00,96,5,14,17,6.0,73,15.0,32.0,42.5,531,2020-11-28,2020,11,28,東京都,多摩市立総合体育館,長野GaRons,きんでんトリニティーブリッツ,篠崎寛,,3,1,4,Win,97,89,,13:00,14:39,0,村上成司,竹澤拓人,金廣祐介,向野行信,Away,108,48,10,44.4,12.00,16,9,2,56.2,9,2.25,90,7,14,22,10.0,80,24.0,36.0,52.5,90
144,56,15,38.9,11.20,24,9,3,37.5,15,3.00,97,2,11,23,5.2,96,31.0,36.0,51.0,532,2020-11-28,2020,11,28,東京都,多摩市立総合体育館,東京ヴェルディ,つくばユナイテッドSunGAIA,瀧澤利一,檜森輝尚,3,2,5,Win,98,107,113,15:15,17:20,0,村上成司,尾鷲和哉,大井悠矢,塚本健二,Home,141,66,10,46.8,13.20,20,5,3,25.0,11,2.20,108,1,12,28,4.6,86,34.0,27.0,55.2,
141,66,10,46.8,13.20,20,5,3,25.0,11,2.20,108,1,12,28,4.6,86,34.0,27.0,55.2,532,2020-11-28,2020,11,28,東京都,多摩市立総合体育館,つくばユナイテッドSunGAIA,東京ヴェルディ,五十嵐元,,2,3,5,Lose,107,98,,15:15,17:20,0,村上成司,尾鷲和哉,大井悠矢,塚本健二,Away,144,56,15,38.9,11.20,24,9,3,37.5,15,3.00,97,2,11,23,5.2,96,31.0,36.0,51.0,113
131,54,9,41.2,13.50,15,6,2,40.0,10,2.50,95,4,10,22,7.4,75,37.0,25.0,66.0,535,2020-11-29,2020,11,29,東京都,多摩市立総合体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,1,3,4,Lose,94,95,100,12:00,13:49,0,村上成司,尾鷲和哉,明石直樹,戸田幸喜,Home,136,60,10,44.1,15.00,16,10,0,62.5,7,1.75,94,5,16,13,4.5,83,31.0,29.0,54.8,
136,60,10,44.1,15.00,16,10,0,62.5,7,1.75,94,5,16,13,4.5,83,31.0,29.0,54.8,535,2020-11-29,2020,11,29,東京都,多摩市立総合体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,3,1,4,Win,95,94,,12:00,13:49,0,村上成司,尾鷲和哉,明石直樹,戸田幸喜,Away,131,54,9,41.2,13.50,15,6,2,40.0,10,2.50,95,4,10,22,7.4,75,37.0,25.0,66.0,100
110,54,7,49.1,13.50,22,11,2,50.0,6,1.50,91,3,14,21,5.2,67,33.0,13.0,59.0,536,2020-11-29,2020,11,29,東京都,多摩市立総合体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,3,1,4,Win,92,82,91,14:25,16:05,0,村上成司,竹澤拓人,山下亮,橋本正太郎,Home,116,49,11,42.2,12.25,26,9,4,34.6,5,1.25,83,5,15,17,6.6,76,38.0,15.0,59.9,
116,49,11,42.2,12.25,26,9,4,34.6,5,1.25,83,5,15,17,6.6,76,38.0,15.0,59.9,536,2020-11-29,2020,11,29,東京都,多摩市立総合体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,1,3,4,Lose,82,92,,14:25,16:05,0,村上成司,竹澤拓人,山下亮,橋本正太郎,Away,110,54,7,49.1,13.50,22,11,2,50.0,6,1.50,91,3,14,21,5.2,67,33.0,13.0,59.0,91
76,43,5,56.6,14.33,9,5,0,55.6,4,1.33,74,2,8,24,8.1,43,29.0,9.0,77.9,537,2020-12-05,2020,12,05,北海道,旭川市リアルター夢りんご体育館,大同特殊鋼レッドスター,兵庫デルフィーノ,平野晃多,,3,0,3,Win,75,55,64,12:00,13:10,278,大江憲一,上総向貴,大塚健之,本保敦理,Home,73,34,7,46.6,11.33,12,3,1,25.0,7,2.33,56,1,13,4,-2.2,65,24.0,17.0,50.0,
73,34,7,46.6,11.33,12,3,1,25.0,7,2.33,56,1,13,4,-2.2,65,24.0,17.0,50.0,537,2020-12-05,2020,12,05,北海道,旭川市リアルター夢りんご体育館,兵庫デルフィーノ,大同特殊鋼レッドスター,岩本正吾,奥田晃,0,3,3,Lose,55,75,,12:00,13:10,278,大江憲一,上総向貴,大塚健之,本保敦理,Away,76,43,5,56.6,14.33,9,5,0,55.6,4,1.33,74,2,8,24,8.1,43,29.0,9.0,77.9,64
111,53,8,47.7,13.25,24,11,3,45.8,11,2.75,89,6,23,29,8.4,78,46.0,13.0,67.3,538,2020-12-05,2020,12,05,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,埼玉アザレア,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,1,4,Win,90,89,90,15:00,16:46,404,大江憲一,坂本雅春,川島秀夫,大友大輔,Home,94,47,8,50.0,11.75,11,7,1,63.6,8,2.00,90,2,11,19,4.4,63,23.0,11.0,45.2,
94,47,8,50.0,11.75,11,7,1,63.6,8,2.00,90,2,11,19,4.4,63,23.0,11.0,45.2,538,2020-12-05,2020,12,05,北海道,旭川市リアルター夢りんご体育館,埼玉アザレア,ヴォレアス北海道,工藤晴康,,1,3,4,Lose,89,90,,15:00,16:46,404,大江憲一,坂本雅春,川島秀夫,大友大輔,Away,111,53,8,47.7,13.25,24,11,3,45.8,11,2.75,89,6,23,29,8.4,78,46.0,13.0,67.3,90
120,51,14,42.5,12.75,15,3,3,20.0,10,2.50,97,3,8,20,6.2,68,34.0,15.0,61.0,541,2020-12-06,2020,12,06,北海道,旭川市リアルター夢りんご体育館,埼玉アザレア,兵庫デルフィーノ,工藤晴康,,3,1,4,Win,98,79,93,10:00,11:42,236,大江憲一,坂本雅春,大塚健之,大友大輔,Home,139,47,15,33.8,11.75,22,7,4,31.8,5,1.25,80,2,12,17,4.1,87,42.0,25.0,62.6,
139,47,15,33.8,11.75,22,7,4,31.8,5,1.25,80,2,12,17,4.1,87,42.0,25.0,62.6,541,2020-12-06,2020,12,06,北海道,旭川市リアルター夢りんご体育館,兵庫デルフィーノ,埼玉アザレア,岩本正吾,白川佑樹,1,3,4,Lose,79,98,,10:00,11:42,236,大江憲一,坂本雅春,大塚健之,大友大輔,Away,120,51,14,42.5,12.75,15,3,3,20.0,10,2.50,97,3,8,20,6.2,68,34.0,15.0,61.0,93
69,39,6,56.5,13.00,16,8,2,50.0,10,3.33,73,7,16,19,10.6,45,30.0,6.0,73.3,542,2020-12-06,2020,12,06,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,大同特殊鋼レッドスター,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,53,68,13:30,14:51,484,大江憲一,上総向貴,川島秀夫,本保敦理,Home,71,21,7,29.6,7.00,9,5,1,55.6,5,1.67,55,2,9,9,3.6,54,26.0,9.0,56.5,
71,21,7,29.6,7.00,9,5,1,55.6,5,1.67,55,2,9,9,3.6,54,26.0,9.0,56.5,542,2020-12-06,2020,12,06,北海道,旭川市リアルター夢りんご体育館,大同特殊鋼レッドスター,ヴォレアス北海道,平野晃多,,0,3,3,Lose,53,75,,13:30,14:51,484,大江憲一,上総向貴,川島秀夫,本保敦理,Away,69,39,6,56.5,13.00,16,8,2,50.0,10,3.33,73,7,16,19,10.6,45,30.0,6.0,73.3,68
81,42,6,51.9,14.00,21,11,3,52.4,8,2.67,74,1,8,23,6.4,46,12.0,12.0,39.1,539,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,サフィルヴァ北海道,山本道彦,廣本遥,3,0,3,Win,75,64,76,13:00,14:22,0,高橋憲太郎,栗崎慎太郎,上村英紀,田中清,Home,93,40,3,43.0,13.33,16,5,0,31.2,3,1.00,65,2,18,22,4.6,66,18.0,25.0,46.2,
93,40,3,43.0,13.33,16,5,0,31.2,3,1.00,65,2,18,22,4.6,66,18.0,25.0,46.2,539,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,富士通カワサキレッドスピリッツ,上杉徹,小林準,0,3,3,Lose,64,75,,13:00,14:22,0,高橋憲太郎,栗崎慎太郎,上村英紀,田中清,Away,81,42,6,51.9,14.00,21,11,3,52.4,8,2.67,74,1,8,23,6.4,46,12.0,12.0,39.1,76
108,50,10,46.3,12.50,22,14,2,63.6,14,3.50,95,2,18,17,1.8,62,28.0,21.0,62.1,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,96,76,91,15:10,16:50,0,高橋憲太郎,藤木博文,宮田裕記,的場早紀,Home,112,44,9,39.3,11.00,23,13,3,56.5,4,1.00,77,0,15,13,-0.6,76,35.0,24.0,61.8,
112,44,9,39.3,11.00,23,13,3,56.5,4,1.00,77,0,15,13,-0.6,76,35.0,24.0,61.8,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,76,96,,15:10,16:50,0,高橋憲太郎,藤木博文,宮田裕記,的場早紀,Away,108,50,10,46.3,12.50,22,14,2,63.6,14,3.50,95,2,18,17,1.8,62,28.0,21.0,62.1,91
104,47,7,45.2,11.75,18,6,2,33.3,12,3.00,94,3,10,19,5.6,69,13.0,25.0,37.0,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95,86,95,11:00,12:44,0,高橋憲太郎,藤木博文,上村英紀,田中清,Home,135,55,15,40.7,13.75,29,10,5,34.5,8,2.00,87,3,17,29,6.9,82,33.0,29.0,57.9,
135,55,15,40.7,13.75,29,10,5,34.5,8,2.00,87,3,17,29,6.9,82,33.0,29.0,57.9,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,86,95,,11:00,12:44,0,高橋憲太郎,藤木博文,上村英紀,田中清,Away,104,47,7,45.2,11.75,18,6,2,33.3,12,3.00,94,3,10,19,5.6,69,13.0,25.0,37.0,95
75,29,4,38.7,9.67,14,2,1,14.3,5,1.67,55,2,9,6,2.3,60,30.0,16.0,63.3,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,54,75,65,13:35,14:46,0,高橋憲太郎,栗崎慎太郎,宮田裕記,坂上勝信,Home,78,47,3,60.3,15.67,16,9,3,56.2,11,3.67,74,2,12,14,3.4,46,24.0,14.0,67.4,
78,47,3,60.3,15.67,16,9,3,56.2,11,3.67,74,2,12,14,3.4,46,24.0,14.0,67.4,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,75,54,,13:35,14:46,0,高橋憲太郎,栗崎慎太郎,宮田裕記,坂上勝信,Away,75,29,4,38.7,9.67,14,2,1,14.3,5,1.67,55,2,9,6,2.3,60,30.0,16.0,63.3,65
79,42,7,53.2,14.00,12,5,3,41.7,7,2.33,74,1,3,20,7.1,48,25.0,10.0,62.5,545,2020-12-19,2020,12,19,埼玉県,三郷市総合体育館,埼玉アザレア,長野GaRons,工藤晴康,,3,0,3,Win,75,61,68,14:00,15:14,263,小林朝実,中島俊昌,三浦岳彦,逸見尚史,Home,97,46,8,47.4,15.33,15,8,1,53.3,3,1.00,62,1,14,13,1.2,70,30.0,20.0,57.1,
97,46,8,47.4,15.33,15,8,1,53.3,3,1.00,62,1,14,13,1.2,70,30.0,20.0,57.1,545,2020-12-19,2020,12,19,埼玉県,三郷市総合体育館,長野GaRons,埼玉アザレア,篠崎寛,,0,3,3,Lose,61,75,,14:00,15:14,263,小林朝実,中島俊昌,三浦岳彦,逸見尚史,Away,79,42,7,53.2,14.00,12,5,3,41.7,7,2.33,74,1,3,20,7.1,48,25.0,10.0,62.5,68
93,33,6,35.5,11.00,8,3,1,37.5,13,4.33,78,1,5,19,5.8,56,22.0,14.0,51.8,548,2020-12-20,2020,12,20,埼玉県,三郷市総合体育館,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,,3,0,3,Win,80,74,92,14:00,15:38,288,小林朝実,中島俊昌,三浦岳彦,新井陽子,Home,119,52,11,43.7,17.33,33,15,5,45.5,5,1.67,76,5,17,19,7.2,73,39.0,15.0,63.7,
119,52,11,43.7,17.33,33,15,5,45.5,5,1.67,76,5,17,19,7.2,73,39.0,15.0,63.7,548,2020-12-20,2020,12,20,埼玉県,三郷市総合体育館,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,0,3,3,Lose,74,80,,14:00,15:38,288,小林朝実,中島俊昌,三浦岳彦,新井陽子,Away,93,33,6,35.5,11.00,8,3,1,37.5,13,4.33,78,1,5,19,5.8,56,22.0,14.0,51.8,92
154,64,18,41.6,12.80,18,7,4,38.9,13,2.60,112,1,13,32,5.1,87,41.0,21.0,59.2,546,2020-12-19,2020,12,19,三重県四日市市,四日市市総合体育館,東京ヴェルディ,兵庫デルフィーノ,瀧澤利一,檜森輝尚,3,2,5,Win,112,102,118,12:00,14:10,0,廣田修二,森西基雄,来川知裕,辻井康博,Home,149,60,16,40.3,12.00,21,3,7,14.3,10,2.00,102,0,15,25,2.5,99,34.0,33.0,51.0,
149,60,16,40.3,12.00,21,3,7,14.3,10,2.00,102,0,15,25,2.5,99,34.0,33.0,51.0,546,2020-12-19,2020,12,19,三重県四日市市,四日市市総合体育館,兵庫デルフィーノ,東京ヴェルディ,岩本正吾,長谷川匡,2,3,5,Lose,102,112,,12:00,14:10,0,廣田修二,森西基雄,来川知裕,辻井康博,Away,154,64,18,41.6,12.80,18,7,4,38.9,13,2.60,112,1,13,32,5.1,87,41.0,21.0,59.2,118
147,70,8,47.6,14.00,18,13,1,72.2,6,1.20,105,3,11,10,2.6,93,60.0,19.0,74.7,547,2020-12-19,2020,12,19,三重県四日市市,四日市市総合体育館,ヴィアティン三重,大同特殊鋼レッドスター,中尾聡,田中一彰,2,3,5,Lose,104,107,108,15:05,17:09,0,廣田修二,中口岳,神原圭吾,澤久忠,Home,145,71,13,49.0,14.20,8,3,1,37.5,12,2.40,106,4,11,12,4.0,93,56.0,25.0,73.7,
145,71,13,49.0,14.20,8,3,1,37.5,12,2.40,106,4,11,12,4.0,93,56.0,25.0,73.7,547,2020-12-19,2020,12,19,三重県四日市市,四日市市総合体育館,大同特殊鋼レッドスター,ヴィアティン三重,平野晃多,,3,2,5,Win,107,104,,15:05,17:09,0,廣田修二,中口岳,神原圭吾,澤久忠,Away,147,70,8,47.6,14.00,18,13,1,72.2,6,1.20,105,3,11,10,2.6,93,60.0,19.0,74.7,108
82,39,6,47.6,13.00,14,5,2,35.7,11,3.67,78,2,10,17,4.8,54,27.0,19.0,67.6,549,2020-12-20,2020,12,20,三重県四日市市,四日市市総合体育館,東京ヴェルディ,兵庫デルフィーノ,瀧澤利一,檜森輝尚,3,0,3,Win,79,68,81,11:00,12:27,0,廣田修二,森西基雄,神原圭吾,辻井康博,Home,96,43,7,44.8,14.33,14,8,1,57.1,4,1.33,69,2,13,8,1.1,66,26.0,22.0,56.1,
96,43,7,44.8,14.33,14,8,1,57.1,4,1.33,69,2,13,8,1.1,66,26.0,22.0,56.1,549,2020-12-20,2020,12,20,三重県四日市市,四日市市総合体育館,兵庫デルフィーノ,東京ヴェルディ,岩本正吾,長谷川匡,0,3,3,Lose,68,79,,11:00,12:27,0,廣田修二,森西基雄,神原圭吾,辻井康博,Away,82,39,6,47.6,13.00,14,5,2,35.7,11,3.67,78,2,10,17,4.8,54,27.0,19.0,67.6,81
119,61,7,51.3,15.25,23,7,3,30.4,9,2.25,92,3,13,7,1.6,83,40.0,29.0,65.7,550,2020-12-20,2020,12,20,三重県四日市市,四日市市総合体育館,ヴィアティン三重,大同特殊鋼レッドスター,中尾聡,田中一彰,1,3,4,Lose,91,92,89,14:00,15:42,0,廣田修二,中口岳,来川知裕,金谷淳史,Home,125,61,10,48.8,15.25,18,8,4,44.4,7,1.75,91,2,7,13,3.8,78,36.0,33.0,67.3,
125,61,10,48.8,15.25,18,8,4,44.4,7,1.75,91,2,7,13,3.8,78,36.0,33.0,67.3,550,2020-12-20,2020,12,20,三重県四日市市,四日市市総合体育館,大同特殊鋼レッドスター,ヴィアティン三重,平野晃多,,3,1,4,Win,92,91,,14:00,15:42,0,廣田修二,中口岳,来川知裕,金谷淳史,Away,119,61,7,51.3,15.25,23,7,3,30.4,9,2.25,92,3,13,7,1.6,83,40.0,29.0,65.7,89
156,59,9,37.8,14.75,22,12,2,54.5,9,2.25,88,3,10,25,7.7,85,42.0,34.0,69.4,553,2021-02-28,2021,02,28,三重県,津市久居総合体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,田中一彰,1,3,4,Lose,87,90,102,11:00,12:51,0,村上成司,森西基雄,糟谷武彦,辻井康博,Home,135,53,12,39.3,13.25,16,6,4,37.5,15,3.75,89,3,3,8,4.8,76,28.0,22.0,51.3,
135,53,12,39.3,13.25,16,6,4,37.5,15,3.75,89,3,3,8,4.8,76,28.0,22.0,51.3,553,2021-02-28,2021,02,28,三重県,津市久居総合体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,切山雄樹,3,1,4,Win,90,87,,11:00,12:51,0,村上成司,森西基雄,糟谷武彦,辻井康博,Away,156,59,9,37.8,14.75,22,12,2,54.5,9,2.25,88,3,10,25,7.7,85,42.0,34.0,69.4,102
96,44,13,45.8,14.67,19,9,4,47.4,7,2.33,73,3,7,23,9.6,47,23.0,9.0,58.5,557,2021-01-16,2021,01,16,茨城県,つくばカピオ,富士通カワサキレッドスピリッツ,東京ヴェルディ,山本道彦,廣本遥,3,0,3,Win,75,57,68,12:00,13:14,0,大塚達也,中島俊昌,横須賀威之,高橋賢司,Home,79,27,6,34.2,9.00,25,9,4,36.0,6,2.00,59,4,10,15,8.9,65,30.0,12.0,55.4,
79,27,6,34.2,9.00,25,9,4,36.0,6,2.00,59,4,10,15,8.9,65,30.0,12.0,55.4,557,2021-01-16,2021,01,16,茨城県,つくばカピオ,東京ヴェルディ,富士通カワサキレッドスピリッツ,瀧澤利一,檜森輝尚,0,3,3,Lose,57,75,,12:00,13:14,0,大塚達也,中島俊昌,横須賀威之,高橋賢司,Away,96,44,13,45.8,14.67,19,9,4,47.4,7,2.33,73,3,7,23,9.6,47,23.0,9.0,58.5,68
124,61,11,49.2,15.25,13,6,2,46.2,6,1.50,96,3,15,21,4.7,68,35.0,11.0,59.6,558,2021-01-16,2021,01,16,茨城県,つくばカピオ,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,五十嵐元,,3,1,4,Win,97,82,89,14:05,15:43,0,大塚達也,慈眼雅啓,山崎公寛,須永智紀,Home,128,48,13,37.5,12.00,17,6,5,35.3,5,1.25,83,3,12,22,6.6,81,42.0,18.0,63.0,
128,48,13,37.5,12.00,17,6,5,35.3,5,1.25,83,3,12,22,6.6,81,42.0,18.0,63.0,558,2021-01-16,2021,01,16,茨城県,つくばカピオ,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,平野晃多,,1,3,4,Lose,82,97,,14:05,15:43,0,大塚達也,慈眼雅啓,山崎公寛,須永智紀,Away,124,61,11,49.2,15.25,13,6,2,46.2,6,1.50,96,3,15,21,4.7,68,35.0,11.0,59.6,89
92,49,6,53.3,16.33,12,3,3,25.0,6,2.00,73,3,8,20,8.2,53,27.0,12.0,62.3,561,2021-01-17,2021,01,17,茨城県,つくばカピオ,つくばユナイテッドSunGAIA,東京ヴェルディ,五十嵐元,,3,0,3,Win,75,62,71,13:00,14:17,0,大塚達也,中島俊昌,山崎公寛,西部芳夫,Home,90,43,5,47.8,14.33,20,8,2,40.0,3,1.00,64,0,11,14,1.2,64,24.0,20.0,53.1,
90,43,5,47.8,14.33,20,8,2,40.0,3,1.00,64,0,11,14,1.2,64,24.0,20.0,53.1,561,2021-01-17,2021,01,17,茨城県,つくばカピオ,東京ヴェルディ,つくばユナイテッドSunGAIA,瀧澤利一,檜森輝尚,0,3,3,Lose,62,75,,13:00,14:17,0,大塚達也,中島俊昌,山崎公寛,西部芳夫,Away,92,49,6,53.3,16.33,12,3,3,25.0,6,2.00,73,3,8,20,8.2,53,27.0,12.0,62.3,71
105,40,11,38.1,13.33,9,2,1,22.2,4,1.33,59,2,11,17,5.9,70,41.0,13.0,67.9,559,2021-01-16,2021,01,16,長野県,須坂市市民体育館,長野GaRons,ヴィアティン三重,篠崎寛,,0,3,3,Lose,58,75,71,13:00,14:17,0,富田満,浜野陽一,木下智宏,橋詰清美,Home,86,36,7,41.9,12.00,15,8,1,53.3,12,4.00,74,1,4,16,5.4,48,19.0,12.0,52.1,
86,36,7,41.9,12.00,15,8,1,53.3,12,4.00,74,1,4,16,5.4,48,19.0,12.0,52.1,559,2021-01-16,2021,01,16,長野県,須坂市市民体育館,ヴィアティン三重,長野GaRons,亀田吉彦,,3,0,3,Win,75,58,,13:00,14:17,0,富田満,浜野陽一,木下智宏,橋詰清美,Away,105,40,11,38.1,13.33,9,2,1,22.2,4,1.33,59,2,11,17,5.9,70,41.0,13.0,67.9,71
111,58,7,52.3,14.50,18,9,3,50.0,13,3.25,96,2,17,23,3.6,67,31.0,15.0,57.5,565,2021-01-23,2021,01,23,東京都,立川市泉市民体育館,富士通カワサキレッドスピリッツ,長野GaRons,山本道彦,廣本遥,3,1,4,Win,97,78,91,13:00,14:40,0,田中昭彦,浜野陽一,明石直樹,塚本健二,Home,99,41,11,41.4,10.25,16,8,4,50.0,6,1.50,79,2,11,20,5.4,78,38.0,16.0,59.0,
99,41,11,41.4,10.25,16,8,4,50.0,6,1.50,79,2,11,20,5.4,78,38.0,16.0,59.0,565,2021-01-23,2021,01,23,東京都,立川市泉市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,1,3,4,Lose,78,97,,13:00,14:40,0,田中昭彦,浜野陽一,明石直樹,塚本健二,Away,111,58,7,52.3,14.50,18,9,3,50.0,13,3.25,96,2,17,23,3.6,67,31.0,15.0,57.5,91
