AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
117,66,6,56.4,16.50,18,9,1,50.0,4,1.00,102,5,17,31,8.3,78,30.0,26.0,55.1,116,2021-10-23,2021,10,23,山口県,維新大晃アリーナ,サントリーサンバーズ,JTサンダーズ広島,山村宏太,米山達也,3,1,4,Win,103,97,121,14:00,16:10,1100,加治健男,千代延靖夫,弘中秀治,藤井達行,Away,110,56,7,50.9,14.00,32,19,2,59.4,9,2.25,98,5,17,20,5.9,82,32.0,17.0,49.4
77,38,2,49.4,12.67,19,12,1,63.2,13,4.33,74,1,10,13,2.4,47,13.0,10.0,38.3,120,2021-10-24,2021,10,24,山口県,維新大晃アリーナ,JTサンダーズ広島,サントリーサンバーズ,原秀治,古田博幸,3,0,3,Win,75,58,79,13:00,14:25,1100,加治健男,山本晋五,弘中秀治,磯村浩,Home,94,38,9,40.4,12.67,22,11,3,50.0,3,1.00,59,4,12,20,10.2,63,28.0,22.0,61.9
94,38,9,40.4,12.67,22,11,3,50.0,3,1.00,59,4,12,20,10.2,63,28.0,22.0,61.9,120,2021-10-24,2021,10,24,山口県,維新大晃アリーナ,サントリーサンバーズ,JTサンダーズ広島,山村宏太,米山達也,0,3,3,Lose,58,75,79,13:00,14:25,1100,加治健男,山本晋五,弘中秀治,磯村浩,Away,77,38,2,49.4,12.67,19,12,1,63.2,13,4.33,74,1,10,13,2.4,47,13.0,10.0,38.3
101,52,8,51.5,13.00,16,8,3,50.0,10,2.50,90,1,15,21,2.8,73,35.0,13.0,56.8,113,2021-10-23,2021,10,23,愛知県,豊田合成記念体育館,ウルフドッグス名古屋,大分三好ヴァイセアドラー,ﾏｸｶﾞｳﾝｸﾘｽ,深津貴之,3,1,4,Win,91,88,110,13:00,15:06,900,勝又正,戸川太輔,沢田元,加藤光一,Home,108,54,10,50.0,13.50,29,12,2,41.4,4,1.00,89,2,16,23,4.2,74,32.0,21.0,57.4
108,54,10,50.0,13.50,29,12,2,41.4,4,1.00,89,2,16,23,4.2,74,32.0,21.0,57.4,113,2021-10-23,2021,10,23,愛知県,豊田合成記念体育館,大分三好ヴァイセアドラー,ウルフドッグス名古屋,ﾑﾚｲﾎﾟｰﾙ,安田将利,1,3,4,Lose,88,91,110,13:00,15:06,900,勝又正,戸川太輔,沢田元,加藤光一,Away,101,52,8,51.5,13.00,16,8,3,50.0,10,2.50,90,1,15,21,2.8,73,35.0,13.0,56.8
78,40,5,51.3,13.33,19,11,3,57.9,7,2.33,74,3,15,16,4.4,51,14.0,17.0,44.1,117,2021-10-24,2021,10,24,愛知県,豊田合成記念体育館,ウルフドッグス名古屋,大分三好ヴァイセアドラー,ﾏｸｶﾞｳﾝｸﾘｽ,深津貴之,3,0,3,Win,75,68,87,13:00,14:40,900,勝又正,戸川太輔,沢田元,田中栄二,Home,75,39,7,52.0,13.00,20,7,4,35.0,4,1.33,69,4,16,20,7.2,57,17.0,23.0,50.0
75,39,7,52.0,13.00,20,7,4,35.0,4,1.33,69,4,16,20,7.2,57,17.0,23.0,50.0,117,2021-10-24,2021,10,24,愛知県,豊田合成記念体育館,大分三好ヴァイセアドラー,ウルフドッグス名古屋,ﾑﾚｲﾎﾟｰﾙ,安田将利,0,3,3,Lose,68,75,87,13:00,14:40,900,勝又正,戸川太輔,沢田元,田中栄二,Away,78,40,5,51.3,13.33,19,11,3,57.9,7,2.33,74,3,15,16,4.4,51,14.0,17.0,44.1
75,37,6,49.3,12.33,20,9,3,45.0,2,0.67,61,5,13,11,7.4,58,39.0,6.0,72.4,111,2021-10-22,2021,10,22,岩手県,紫波町総合体育館,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,0,3,3,Lose,59,75,78,18:00,19:24,383,利根川忠史,服部篤史,慈眼雅啓,藤原和紀,Home,73,38,3,52.1,12.67,13,8,1,61.5,7,2.33,73,9,10,13,13.4,46,32.0,3.0,72.8
73,38,3,52.1,12.67,13,8,1,61.5,7,2.33,73,9,10,13,13.4,46,32.0,3.0,72.8,111,2021-10-22,2021,10,22,岩手県,紫波町総合体育館,堺ブレイザーズ,東レアローズ,千葉進也,長江祥司,3,0,3,Win,75,59,78,18:00,19:24,383,利根川忠史,服部篤史,慈眼雅啓,藤原和紀,Away,75,37,6,49.3,12.33,20,9,3,45.0,2,0.67,61,5,13,11,7.4,58,39.0,6.0,72.4
136,56,15,41.2,11.20,36,13,5,36.1,5,1.00,89,5,11,26,9.8,93,40.0,27.0,57.5,112,2021-10-23,2021,10,23,岩手県,紫波町総合体育館,東レアローズ,堺ブレイザーズ,篠田歩,阿部裕太,2,3,5,Lose,88,113,125,14:00,16:17,460,利根川忠史,高橋宏明,慈眼雅啓,糸井淳孝,Home,116,61,6,52.6,12.20,20,11,1,55.0,16,3.20,112,5,15,25,6.7,77,30.0,19.0,51.3
