No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
1,,鈴木遥,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,1,1.0,0.0,100.0,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
3,,山本直美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
4,,石川綾菜,3,■,■,■,,,22,5,0,22.7,1.67,0,0,0,-,1,0.33,7,0,1,2,3.6,2,1.0,0.0,50.0,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
5,,田中実季,3,■,■,■,,,33,8,4,24.2,2.67,2,1,0,50.0,2,0.67,14,1,1,8,19.6,12,9.0,2.0,83.3,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
6,,黒木麻衣,3,■,■,■,,,2,0,0,0.0,-,0,0,0,-,3,1.00,14,0,0,5,8.9,1,0.0,0.0,0.0,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
8,,末代真歩,3,■,■,■,,,20,8,1,40.0,2.67,0,0,0,-,3,1.00,6,0,1,4,12.5,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
9,L,高桑裕恵,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
10,,楠木舞美子,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
11,,萩原希,3,■,■,■,,,18,6,1,33.3,2.00,0,0,0,-,1,0.33,14,1,1,2,8.9,20,6.0,4.0,40.0,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
12,,齊藤葉月,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
14,L,鶴ヶ崎佳寿葉,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,10.0,5.0,78.1,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
16,,名原寧音,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
17,,小清水茉弥,3,■,■,■,,,20,6,0,30.0,2.00,0,0,0,-,1,0.33,12,1,0,4,16.7,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home
3,L,佐藤円,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
4,,櫻井樹里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
5,,中田香澄,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
6,,松尾由紀子,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
8,,田村愛美,3,■,■,■,,,4,3,0,75.0,1.00,0,0,0,-,0,-,10,0,0,3,7.5,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
9,,戸田さやか,3,■,■,■,,,14,3,1,21.4,1.00,0,0,0,-,1,0.33,9,0,2,2,0.0,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
10,,三澤未憂,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
11,L,森寿実子,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,9.0,3.0,65.6,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
12,,佐藤梨夏,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
14,,丹野瑞希,3,■,■,■,,,32,11,3,34.4,3.67,1,0,0,0.0,2,0.67,13,1,0,5,17.3,2,0.0,1.0,25.0,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
15,,浅川希,3,■,■,■,,,29,5,1,17.2,1.67,0,0,0,-,0,-,10,1,3,2,7.5,50,16.0,11.0,43.0,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
16,,江川優貴,3,■,■,■,,,44,14,5,31.8,4.67,5,1,0,20.0,0,-,11,0,4,0,-9.1,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
17,,柳沢紫子,3,■,■,■,,,18,7,1,38.9,2.33,0,0,0,-,1,0.33,8,0,1,1,0.0,0,0.0,0.0,-,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away
1,,熊本比奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,GSS東京サンビームズ,藤原道生,相田好美,3,1,4,Win,110,Home
5,,菅井美貴,4,■,■,■,■,,4,1,0,25.0,0.25,0,0,0,-,0,-,19,0,1,8,9.2,0,0.0,0.0,-,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,GSS東京サンビームズ,藤原道生,相田好美,3,1,4,Win,110,Home
6,,柴小屋志織,4,■,■,■,■,,27,6,0,22.2,1.50,1,0,0,0.0,2,0.50,12,0,0,4,8.3,3,2.0,0.0,66.7,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,GSS東京サンビームズ,藤原道生,相田好美,3,1,4,Win,110,Home
7,L,徳田亜留美,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,29,17.0,3.0,63.8,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,GSS東京サンビームズ,藤原道生,相田好美,3,1,4,Win,110,Home
8,,菅原麻衣,4,■,■,■,■,,36,15,4,41.7,3.75,5,1,0,20.0,1,0.25,13,0,2,6,7.7,0,0.0,0.0,-,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,GSS東京サンビームズ,藤原道生,相田好美,3,1,4,Win,110,Home
9,,和田法子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,GSS東京サンビームズ,藤原道生,相田好美,3,1,4,Win,110,Home
10,,多田遥,4,■,■,■,■,,76,32,2,42.1,8.00,11,4,0,36.4,1,0.25,17,1,1,5,11.8,25,10.0,9.0,58.0,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,GSS東京サンビームズ,藤原道生,相田好美,3,1,4,Win,110,Home
11,,加藤彩夏,4,■,■,■,■,,26,11,2,42.3,2.75,0,0,0,-,1,0.25,15,0,0,3,5.0,19,9.0,1.0,50.0,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,GSS東京サンビームズ,藤原道生,相田好美,3,1,4,Win,110,Home
